DATE_TIME,current_contract,next_contract,carry_contract
2020-08-07 23:00:00,20200900,20210100,20210100
2020-12-08 23:00:00,20210100,20210500,20210500
2021-04-07 23:00:00,20210500,20210900,20210900
2021-08-09 23:00:00,20210900,20220100,20220100
2021-12-08 23:00:00,20220100,20220500,20220500
2022-04-07 23:00:00,20220500,20220900,20220900
2022-08-08 23:00:00,20220900,20230100,20230100
2022-12-08 23:00:00,20230100,20230500,20230500
2023-04-07 23:00:00,20230500,20230900,20230900
2023-08-08 23:00:00,20230900,20240100,20240100
2023-12-08 23:00:00,20240100,20240500,20240500
2024-04-08 23:00:00,20240500,20240900,20240900
2024-08-08 23:00:00,20240900,20250100,20250100
2024-12-09 23:00:00,20250100,20250500,20250500
2025-04-07 23:00:00,20250500,20250900,20250900
2025-08-08 23:00:00,20250900,20260100,20260100
2025-12-08 23:00:00,20260100,20260500,20260500
2026-04-07 23:00:00,20260500,20260900,20260900
2026-08-07 23:00:00,20260900,20270100,20270100
