DATE_TIME,current_contract,next_contract,carry_contract
2021-04-02 23:00:00,20210500,20210600,20210400
2021-05-06 23:00:00,20210600,20210700,20210500
2021-06-03 23:00:00,20210700,20210800,20210600
2021-07-05 23:00:00,20210800,20210900,20210700
2021-08-04 23:00:00,20210900,20211000,20210800
2021-09-03 23:00:00,20211000,20211100,20210900
2021-09-30 23:00:00,20211100,20211200,20211000
2021-11-03 23:00:00,20211200,20220100,20211100
2021-12-03 23:00:00,20220100,20220200,20211200
2022-01-04 23:00:00,20220200,20220300,20220100
2022-01-28 23:00:00,20220300,20220500,20220200
2022-04-01 23:00:00,20220500,20220600,20220400
2022-05-05 23:00:00,20220600,20220700,20220500
2022-06-02 23:00:00,20220700,20220800,20220600
2022-07-04 23:00:00,20220800,20220900,20220700
2022-08-04 23:00:00,20220900,20221000,20220800
2022-09-02 23:00:00,20221000,20221100,20220900
2022-09-30 23:00:00,20221100,20221200,20221000
2022-11-03 23:00:00,20221200,20230100,20221100
2022-12-05 23:00:00,20230100,20230200,20221200
2023-01-04 23:00:00,20230200,20230300,20230100
2023-02-01 23:00:00,20230300,20230500,20230200
2023-04-03 23:00:00,20230500,20230600,20230400
2023-05-04 23:00:00,20230600,20230700,20230500
2023-06-02 23:00:00,20230700,20230800,20230600
2023-07-04 23:00:00,20230800,20230900,20230700
2023-08-04 23:00:00,20230900,20231000,20230800
2023-09-04 23:00:00,20231000,20231100,20230900
2023-10-09 23:00:00,20231100,20231200,20231000
2023-11-03 23:00:00,20231200,20240100,20231100
2023-12-04 23:00:00,20240100,20240200,20231200
2024-01-04 23:00:00,20240200,20240300,20240100
2024-02-02 23:00:00,20240300,20240500,20240200
2024-04-03 23:00:00,20240500,20240600,20240400
2024-05-06 23:00:00,20240600,20240700,20240500
2024-06-03 23:00:00,20240700,20240800,20240600
2024-07-04 23:00:00,20240800,20240900,20240700
2024-08-05 23:00:00,20240900,20241000,20240800
2024-09-03 23:00:00,20241000,20241100,20240900
2024-09-30 23:00:00,20241100,20241200,20241000
2024-11-04 23:00:00,20241200,20250100,20241100
2024-12-04 23:00:00,20250100,20250200,20241200
2025-01-03 23:00:00,20250200,20250300,20250100
2025-02-05 23:00:00,20250300,20250500,20250200
2025-04-03 23:00:00,20250500,20250600,20250400
2025-05-06 23:00:00,20250600,20250700,20250500
2025-06-03 23:00:00,20250700,20250800,20250600
2025-07-04 23:00:00,20250800,20250900,20250700
2025-08-04 23:00:00,20250900,20251000,20250800
2025-09-03 23:00:00,20251000,20251100,20250900
2025-09-30 23:00:00,20251100,20251200,20251000
2025-11-03 23:00:00,20251200,20260100,20251100
2025-12-04 23:00:00,20260100,20260200,20251200
2026-01-05 23:00:00,20260200,20260300,20260100
2026-02-02 23:00:00,20260300,20260500,20260200
2026-04-03 23:00:00,20260500,20260600,20260400
2026-05-06 23:00:00,20260600,20260700,20260500
2026-06-03 23:00:00,20260700,20260800,20260600
2026-07-03 23:00:00,20260800,20260900,20260700
2026-07-27 23:00:00,20260900,20261000,20260800
